                           Age 11/12       Age 13     Age 14   Age 15   Age 16   Age 17Age 18/Over
Stroke                     Base    Auto    ...
Boys 50m Freestyle,        31.1,   30.5,   29.2,   28.4,   27.7,   26.9,   26.0,   25.4,   25.8,   25.2,   25.2,   24.7,   24.4,   23.8
Boys 100m Freestyle,     1:08.5, 1:05.9, 1:03.9, 1:01.8, 1:00.2,   58.5,   55.8,   54.7,   55.4,   53.5,   55.0,   53.5,   52.8,   52.2
Boys 200m Freestyle,     2:28.5, 2:24.2, 2:19.0, 2:14.7, 2:10.8, 2:08.4, 2:03.5, 2:00.7, 2:02.1, 1:59.3, 2:01.1, 1:59.3, 2:00.2, 1:57.0
Boys 400m Freestyle,     5:17.8, 5:06.2, 4:56.1, 4:45.4, 4:39.6, 4:33.4, 4:19.7, 4:10.6, 4:17.1, 4:09.8, 4:17.1, 4:09.8, 4:16.7, 4:08.1
Boys 800m Freestyle,    10:21.1,10:15.5, 9:39.2, 9:34.8, 9:16.1, 9:04.2, 9:08.1, 8:43.5, 9:08.1, 8:31.5, 9:08.1, 8:31.5, 9:05.9, 8:31.5
Boys 1500m Freestyle,   19:54.0,19:43.3,18:58.6,18:23.6,18:11.7,17:25.5,17:48.1,16:44.0,17:48.1,16:44.0,17:48.1,16:44.0,17:38.1,16:44.0
Boys 50m Breaststroke,     42.0,   40.3,   38.7,   37.2,   36.1,   34.8,   32.9,   32.3,   32.7,   31.7,   32.4,   31.6,   31.9,   29.8
Boys 100m Breaststroke,  1:31.8, 1:28.3, 1:25.5, 1:21.4, 1:18.8, 1:16.3, 1:11.9, 1:09.9, 1:11.6, 1:07.7, 1:09.3, 1:07.7, 1:09.1, 1:06.3
Boys 200m Breaststroke,  3:14.3, 3:09.4, 3:03.0, 2:54.8, 2:50.8, 2:46.3, 2:38.1, 2:33.3, 2:37.6, 2:31.5, 2:32.8, 2:30.3, 2:32.5, 2:25.3
Boys 50m Butterfly,        35.2,   33.7,   32.6,   31.4,   30.3,   29.1,   28.3,   27.7,   27.8,   26.7,   27.2,   26.7,   26.9,   25.9
Boys 100m Butterfly      1:20.3, 1:17.4, 1:14.1, 1:10.4, 1:08.8, 1:05.2, 1:02.3, 1:00.8, 1:01.2,   58.6, 1:00.3,   58.6,   58.7,   57.1
Boys 200m Butterfly      3:07.0, 3:02.1, 2:56.6, 2:42.6, 2:38.4, 2:30.3, 2:24.2, 2:19.3, 2:22.0, 2:12.9, 2:19.9, 2:12.9, 2:16.8, 2:12.9
Boys 50m Backstroke,       36.5,   35.7,   34.4,   33.0,   32.1,   31.0,   31.4,   29.4,   30.3,   28.9,   28.9,   28.8,   28.1,   27.2
Boys 100m Backstroke,    1:18.5, 1:16.3, 1:13.2, 1:11.2, 1:09.1, 1:06.9, 1:08.4, 1:01.9, 1:03.1, 1:00.3, 1:02.3, 1:00.3,   59.6,   58.0
Boys 200m Backstroke,    2:46.2, 2:42.7, 2:36.7, 2:31.3, 2:28.5, 2:23.0, 2:19.8, 2:15.8, 2:19.8, 2:12.2, 2:19.8, 2:12.2, 2:15.1, 2:10.5
Boys 200m Ind Medley,    2:49.0, 2:44.1, 2:38.1, 2:33.5, 2:30.0, 2:25.1, 2:20.2, 2:14.6, 2:18.1, 2:13.4, 2:18.1, 2:13.4, 2:18.1, 2:13.4
Boys 400m Ind Medley,    6:12.9, 6:06.4, 5:41.4, 5:27.1, 5:20.8, 5:05.0, 4:53.4, 4:40.5, 4:53.4, 4:40.5, 4:53.4, 4:40.5, 4:53.4, 4:40.5
Girls 50m Freestyle,       30.9,   30.3,   29.6,   29.1,   29.0,   28.6,   28.5,   28.0,   28.3,   27.9,   28.1,   27.5
Girls 100m Freestyle,    1:07.8, 1:06.1, 1:04.9, 1:03.5, 1:03.0, 1:02.2, 1:01.5,   00.0, 1:00.9,   59.9,   59.4,   58.7
Girls 200m Freestyle,    2:28.4, 2:24.4, 2:20.8, 2:18.0, 2:17.1, 2:14.2, 2:13.5, 2:11.2, 2:13.4, 2:10.3, 2:10.2, 2:08.0
Girls 400m Freestyle,    5:11.5, 5:05.5, 4:58.0, 4:52.9, 4:48.1, 4:44.2, 4:38.1, 4:34.8, 4:38.1, 4:29.4, 4:32.6, 4:24.0
Girls 800m Freestyle,   10:23.2,10:08.1,10:05.1, 9:49.6, 9:44.7, 9:38.8, 9:44.7, 9:27.0, 9:44.7, 9:13.3, 9:36.2, 9:13.3
Girls 1500m Freestyle,  20:12.5,19:26.6,19:35.8,19:14.5,19:35.8,18:25.1,19:35.8,18:07.2,19:35.8,18:06.0,19:02.1,17:51.1
Girls 50m Breaststroke,    40.8,   39.3,   39.0,   37.7,   37.7,   36.2,   36.9,   35.5,   36.9,   35.5,   35.7,   34.1
Girls 100m Breaststroke, 1:29.0, 1:25.9, 1:25.4, 1:22.0, 1:21.9, 1:19.5, 1:18.8, 1:16.6, 1:18.3, 1:16.6, 1:16.3, 1:14.8
Girls 200m Breaststroke, 3:09.8, 3:03.7, 3:03.0, 2:57.8, 2:56.7, 2:51.5, 2:53.0, 2:50.1, 2:53.0, 2:48.2, 2:46.6, 2:43.0
Girls 50m Butterfly,       34.0,   33.2,   32.3,   31.6,   31.9,   31.1,   31.1,   30.2,   31.1,   30.2,   30.1,   29.3
Girls 100m Butterfly,    1:18.8, 1:15.7, 1:13.2, 1:11.5, 1:11.7, 1:09.8, 1:09.0, 1:06.6, 1:08.8, 1:06.6, 1:06.2, 1:04.3
Girls 200m Butterfly,    3:03.4, 2:55.5, 2:50.9, 2:42.7, 2:45.5, 2:39.7, 2:37.1, 2:34.0, 2:36.3, 2:31.3, 2:32.7, 2:26.7
Girls 50m Backstroke,      35.7,   34.7,   34.1,   33.5,   33.4,   32.6,   32.8,   31.9,   32.8,   31.9,   31.9,   30.5
Girls 100m Backstroke,   1:17.2, 1:14.9, 1:13.6, 1:11.2, 1:11.4, 1:09.2, 1:09.4, 1:07.5, 1:08.2, 1:07.5, 1:07.0, 1:04.8
Girls 200m Backstroke,   2:45.0, 2:40.3, 2:37.0, 2:33.1, 2:32.8, 2:29.0, 2:30.1, 2:26.7, 2:29.6, 2:26.7, 2:23.2, 2:18.3
Girls 200m Ind Medley,   2:46.3, 2:43.4, 2:39.3, 2:36.8, 2:36.0, 2:32.9, 2:31.8, 2:30.1, 2:31.0, 2:29.2, 2:28.6, 2:24.2
Girls 400m Ind Medley,   5:59.9, 5:47.9, 5:41.7, 5:35.1, 5:31.8, 5:22.8, 5:26.0, 5:21.0, 5:23.8, 5:07.9, 5:10.9, 5:01.3
