10000[16]00000000[01]008010000002048000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[04]4c[17]
60 [16]00000000[01]003000001[04]39[17]
20 [16]00000000[01]0040100000[02]Girls 200m Medley                    [04]8C[17]
30 [16]00000000[01]0040100100[02]Ev 15,  Ht 2                         [04]48[17]
30 [16]00000000[01]0040100200[02]                                     [04]0E[17]
30 [16]00000000[01]0040100300[02]2  I Ebrahimzadeh   KIRL             [04]40[17]
30 [16]00000000[01]0040100400[02]3  Anna Mura        WYCS             [04]FC[17]
50 [16]00000000[01]0040100500[02]4  Keeley Rees      BRKS             [04]85[17]
20 [16]00000000[01]0040100600[02]5  Lily Marshall    BRKS             [04]27[17]
30 [16]00000000[01]0040100700[02]                                     [04]13[17]
30 [16]00000000[01]0040101100[02]    0.0 [04]9C[17]
11070 [16]00000000[01]0040101100[02]    0.1 [04]9D[17]
90 [16]00000000[01]0040101100[02]    0.2 [04]9E[17]
130 [16]00000000[01]0040101100[02]    0.3 [04]9F[17]
110 [16]00000000[01]0040101100[02]    0.4 [04]A0[17]
80 [16]00000000[01]0040101100[02]    0.5 [04]A1[17]
110 [16]00000000[01]0040101100[02]    0.6 [04]A2[17]
80 [16]00000000[01]0040101100[02]    0.7 [04]A3[17]
110 [16]00000000[01]0040101100[02]    0.8 [04]A4[17]
100 [16]00000000[01]0040101100[02]    0.9 [04]A5[17]
130 [16]00000000[01]0040101100[02]    1.0 [04]9D[17]
90 [16]00000000[01]0040101100[02]    1.1 [04]9E[17]
90 [16]00000000[01]0040101100[02]    1.2 [04]9F[17]
90 [16]00000000[01]0040101100[02]    1.3 [04]A0[17]
110 [16]00000000[01]0040101100[02]    1.4 [04]A1[17]
100 [16]00000000[01]0040101100[02]    1.5 [04]A2[17]
110 [16]00000000[01]0040101100[02]    1.6 [04]A3[17]
60 [16]00000000[01]0040101100[02]    1.7 [04]A4[17]
140 [16]00000000[01]0040101100[02]    1.8 [04]A5[17]
90 [16]00000000[01]0040101100[02]    1.9 [04]A6[17]
90 [16]00000000[01]0040101100[02]    2.0 [04]9E[17]
90 [16]00000000[01]0040101100[02]    2.1 [04]9F[17]
90 [16]00000000[01]0040101100[02]    2.2 [04]A0[17]
110 [16]00000000[01]0040101100[02]    2.3 [04]A1[17]
90 [16]00000000[01]0040101100[02]    2.4 [04]A2[17]
110 [16]00000000[01]0040101100[02]    2.5 [04]A3[17]
110 [16]00000000[01]0040101100[02]    2.6 [04]A4[17]
80 [16]00000000[01]0040101100[02]    2.7 [04]A5[17]
110 [16]00000000[01]0040101100[02]    2.8 [04]A6[17]
90 [16]00000000[01]0040101100[02]    2.9 [04]A7[17]
110 [16]00000000[01]0040101100[02]    3.0 [04]9F[17]
