Ages,              10/11,     12,     13,     14,     15,     16,    17+
Girls 50 Free,      38.0,   34.2,   32.4,   31.4,   30.4,   30.3,   30.2
Girls 100 Free,   1:18.0, 1:13.0, 1:12.0, 1:10.0, 1:08.0, 1:07.5, 1:07.0
Girls 200 Free,   2:51.0, 2:40.0, 2:28.0, 2:24.0, 2:22.0, 2:20.0, 2:19.0
Girls 400 Free,   6:20.0, 5:50.0, 5:25.0, 5:20.0, 5:00.0, 4:58.0, 4:55.0
Girls 800 Free,         ,11:20.0,10:55.0,10:30.0,10:10.0,10:05.0,10:00.0
Girls 1500 Free,        ,22:00.0,21:12.0,20:23.0,19:40.0,19:30.0,19:25.0
Girls 50 Breast,    48.5,   43.9,   42.0,   41.0,   39.0,   38.7,   38.4
Girls 100 Breast, 1:44.0, 1:36.0, 1:32.0, 1:29.0, 1:25.5, 1:25.0, 1:24.5
Girls 200 Breast, 3:40.0, 3:27.0, 3:15.0, 3:05.0, 3:02.0, 3:01.0, 3:00.0
Girls 50 Fly,       41.5,   38.5,   36.0,   35.0,   34.0,   33.5,   33.0
Girls 100 Fly,    1:35.0, 1:25.0, 1:21.5, 1:18.0, 1:15.5, 1:14.8, 1:14.0
Girls 200 Fly,    3:30.0, 3:12.0, 3:00.0, 2:50.0, 2:45.0, 2:43.0, 2:40.0
Girls 50 Back,      42.5,   39.5,   36.7,   36.0,   35.0,   34.5,   34.0
Girls 100 Back,   1:30.0, 1:25.0, 1:19.5, 1:17.0, 1:15.0, 1:13.5, 1:12.0
Girls 200 Back,   3:15.0, 2:58.0, 2:49.0, 2:43.0, 2:41.0, 2:38.0, 2:35.0
Girls 200 IM,     3:18.0, 3:04.0, 2:54.5, 2:46.0, 2:44.0, 2:41.5, 2:38.5
Girls 400 IM,           , 6:15.0, 5:55.0, 5:45.0, 5:35.0, 5:33.5, 5:32.0
Boys 50 Free,       37.0,   34.0,   31.5,   30.0,   28.8,   28.1,   27.5
Boys 100 Free,    1:20.0, 1:14.0, 1:11.0, 1:05.0, 1:04.0, 1:02.0, 1:00.0
Boys 200 Free,    2:55.0, 2:42.0, 2:33.0, 2:22.0, 2:14.0, 2:11.5, 2:09.0
Boys 400 Free,    6:20.0, 5:50.0, 5:30.0, 5:05.0, 4:50.0, 4:45.0, 4:40.0
Boys 800 Free,          ,11:20.0,10:45.0,10:03.0, 9:47.0, 9:37.0, 9:10.0
Boys 1500 Free,         ,21:35.0,21:00.0,19:30.0,19:00.0,18:30.0,18:00.0
Boys 50 Breast,     49.0,   44.0,   42.0,   38.5,   37.3,   35.5,   33.5
Boys 100 Breast,  1:50.0, 1:39.0, 1:31.0, 1:26.0, 1:21.0, 1:18.0, 1:15.0
Boys 200 Breast,  3:42.0, 3:26.0, 3:15.0, 3:05.0, 2:51.0, 2:48.5, 2:46.0
Boys 50 Fly,        41.0,   39.0,   36.5,   34.0,   31.5,   30.5,   29.5
Boys 100 Fly,     1:38.0, 1:29.5, 1:21.0, 1:16.0, 1:11.5, 1:09.0, 1:07.0
Boys 200 Fly,     3:25.0, 3:08.0, 2:56.0, 2:45.0, 2:36.0, 2:30.0, 2:25.0
Boys 50 Back,       42.0,   38.5,   36.7,   34.0,   33.0,   31.5,   30.5
Boys 100 Back,    1:34.0, 1:26.0, 1:20.0, 1:14.0, 1:10.0, 1:09.5, 1:07.0
Boys 200 Back,    3:16.0, 2:59.0, 2:49.0, 2:38.0, 2:32.5, 2:26.0, 2:20.0
Boys 200 IM,      3:13.0, 2:59.0, 2:46.0, 2:42.0, 2:35.0, 2:29.0, 2:23.0
Boys 400 IM,            , 6:15.0, 5:52.0, 5:40.0, 5:25.0, 5:15.0, 5:05.0
